"","GSM2109575","GSM2109576","GSM2109577","GSM2109578","GSM2109579","GSM2109580","GSM2109581","GSM2109582","GSM2109583","GSM2109584","GSM2109585","GSM2109586","GSM2109587","GSM2109588","GSM2109589","GSM2109590"
"DDX11L1",0,2,2,1,3,2,2,4,2,7,2,1,1,5,9,5
"WASH7P",41,48,42,14,52,59,43,81,43,57,50,20,38,59,65,83
"MIR6859-1",0,1,2,0,1,2,1,2,1,1,1,1,1,2,1,4
"MIR1302-2HG",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MIR1302-2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FAM138A",1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"OR4F5",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"LOC100996442",12,15,28,7,18,16,20,40,25,11,26,1,15,28,28,33
"LOC729737",16,25,38,8,12,22,21,77,48,60,38,27,19,20,47,53
"DDX11L17",0,2,2,1,2,2,2,5,3,5,2,1,2,2,8,5
"WASH9P",44,57,48,14,66,54,42,86,52,45,53,22,41,65,87,93
"MIR6859-2",0,1,1,0,1,2,1,2,1,1,1,1,1,2,1,5
"LOC107985721",0,0,2,0,0,0,0,1,2,1,0,0,0,2,1,1
"LOC112268260",6,3,5,3,6,9,12,7,4,7,5,1,6,15,8,9
"OR4F29",2,1,1,0,0,2,2,1,0,0,0,0,0,2,1,2
"LOC100132287",16,23,32,4,14,19,21,51,43,43,28,16,12,18,45,51
"LOC105378947",1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0
"LOC101928626",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"MIR12136",102,85,104,37,108,86,76,1162,52,127,165,135,260,135,225,167
"OR4F16",11,6,7,4,2,7,8,10,6,3,1,0,7,17,7,13
"LOC100133331",13,27,39,7,15,21,19,55,50,46,29,25,19,23,45,56
"LOC107984841",4,6,10,1,4,4,6,17,13,7,9,2,6,11,12,14
"LOC107984847",5,9,10,8,1,6,6,13,12,4,16,1,6,20,15,32
"LOC107984849",1,2,2,0,1,1,1,2,4,2,1,1,1,2,5,3
"LOC100288069",9,10,14,6,11,10,12,24,25,9,18,2,17,24,23,23
"LINC01409",55,46,57,26,45,31,54,44,56,51,32,21,37,110,94,129
"FAM87B",8,14,26,7,8,15,8,13,13,11,10,1,7,26,19,30
"LINC00115",9,21,10,1,1,6,18,10,3,12,7,4,7,30,32,31
"LINC01128",16,9,22,12,28,45,28,48,30,48,30,8,26,56,48,101
"LOC107984850",0,1,1,1,1,2,1,1,4,0,1,1,1,1,1,2
"FAM41C",8,4,1,1,2,2,3,7,7,1,2,0,2,3,2,2
"LOC284600",2,1,0,0,2,0,0,0,0,8,0,2,6,5,6,5
"LINC02593",0,1,13,1,0,0,0,0,0,0,0,0,3,0,0,0
"LOC107985728",0,0,8,1,1,1,0,1,0,2,1,1,4,2,0,0
"SAMD11",5,7,6,4,6,3,6,7,9,8,5,6,14,8,14,15
"NOC2L",106,103,72,33,64,71,135,71,117,83,69,24,102,69,98,131
"KLHL17",4,3,6,2,4,10,6,9,10,19,3,1,10,13,35,45
"PLEKHN1",0,3,2,0,2,5,8,1,2,1,2,0,1,0,2,0
"PERM1",2,3,3,0,0,1,8,0,4,0,0,0,0,0,3,2
"HES4",13,22,20,2,5,4,24,4,4,22,0,7,4,27,22,19
"ISG15",26,36,22,4,13,58,21,12,13,21,79,13,62,19,168,52
"AGRN",458,265,203,44,167,128,126,371,169,52,65,11,143,26,84,56
"LOC100288175",2,10,1,8,44,1,4,1,12,4,8,1,33,2,8,4
"LOC112267874",2,4,2,2,10,0,0,0,2,0,1,0,11,1,5,1
"LOC105378948",4,16,4,11,41,5,6,1,12,5,9,5,44,5,23,14
"RNF223",0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,2
"C1orf159",13,8,9,1,29,15,10,13,15,16,11,5,11,11,21,28
"LINC01342",0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0
"MIR200B",2,2,2,0,5,3,0,0,1,0,1,0,0,0,0,0
"MIR200A",2,3,0,0,3,1,1,0,0,0,0,0,0,0,0,0
"MIR429",4,8,1,0,8,0,0,0,4,0,1,0,6,0,0,1
"TTLL10-AS1",2,2,0,0,3,2,0,2,2,1,1,0,0,0,0,1
"TTLL10",12,12,4,1,7,7,0,17,0,1,2,2,12,0,3,0
"TNFRSF18",1,1,4,2,18,3,2,4,1,0,10,0,11,0,3,6
"TNFRSF4",0,1,5,4,99,4,13,3,10,11,23,0,71,7,7,6
"SDF4",87,127,116,32,77,92,122,97,79,125,103,38,112,86,111,134
"B3GALT6",36,66,53,20,37,18,58,36,27,30,15,4,38,44,58,57
"C1QTNF12",1,1,7,0,1,0,1,0,2,0,0,0,0,0,0,2
"UBE2J2",84,58,72,18,75,60,74,63,64,89,68,30,85,87,114,140
"LINC01786",6,12,11,4,4,10,17,32,2,6,4,0,1,4,11,17
"SCNN1D",6,7,6,2,4,16,7,35,6,4,6,0,6,9,6,10
"ACAP3",116,97,117,27,160,249,118,578,185,228,166,47,205,169,235,288
"MIR6726",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SNORD167",3,0,1,0,1,3,1,3,5,6,2,1,0,0,1,4
"PUSL1",26,10,8,5,32,22,15,26,30,22,20,4,34,19,26,29
"INTS11",108,120,117,41,148,119,154,156,113,152,168,24,90,151,165,196
"MIR6727",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"CPTP",18,16,15,8,21,21,21,45,30,27,29,11,21,24,23,31
"TAS1R3",17,8,14,1,30,10,4,16,6,10,21,3,13,3,12,8
"DVL1",39,42,42,16,62,63,51,51,23,23,61,6,56,28,42,54
"MIR6808",0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"MXRA8",45,26,627,6,86,60,34,63,15,40,19,4,112,24,43,38
"AURKAIP1",25,46,25,13,47,27,49,55,20,28,37,9,72,101,71,92
"CCNL2",572,639,522,252,613,549,717,471,403,464,932,103,730,912,741,916
"MRPL20-AS1",40,24,29,17,35,20,39,31,33,43,25,2,38,56,79,62
