Gene,Dataset,AUC,95%CI,Sensitivity,Specificity
IRF6,Training,0.775,0.558-0.942,66.70%,100.00%
TRIP6,Training,0.8,0.608-0.967,80.00%,87.50%
PKP1,Training,0.833333333333333,0.633-0.983,80.00%,87.50%
CDH1,Training,0.875,0.692-1.000,80.00%,100.00%
PBX1,Training,0.816666666666667,0.617-0.983,73.30%,100.00%
KRT1,Training,0.983333333333333,0.925-1.000,100.00%,87.50%
IRF6,TCGA,0.795833333333333,0.725-0.867,79.20%,100.00%
TRIP6,TCGA,0.9,0.825-0.967,86.70%,100.00%
PKP1,TCGA,0.941666666666667,0.892-0.983,93.30%,100.00%
CDH1,TCGA,0.741666666666667,0.625-0.858,67.50%,100.00%
PBX1,TCGA,0.545833333333333,0.292-0.800,34.20%,100.00%
KRT1,TCGA,0.958333333333333,0.883-1.000,91.70%,100.00%
