"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene"
"PAX1",2.97006157680099,7.98101127921407,9.59943974516132,6.43308249043026e-10,1.27304269403124e-05,12.8146588429738,"PAX1"
"PLTP",2.48795699890588,8.57985036068366,8.22133216407401,1.29570219130093e-08,8.54688355455137e-05,9.88774582836298,"PLTP"
"ELANE",-2.9702368482369,-0.878220931366063,-8.59791958439245,5.56349848042679e-09,5.50480357145829e-05,9.36786830089744,"ELANE"
"NRCAM",3.16884451415436,5.71878758319894,7.85589809003003,2.99640962977541e-08,0.000118591900327251,9.06537002184584,"NRCAM"
"LINC00632",-4.98084891354264,1.04906870422936,-7.9800994098483,2.24902134958092e-08,0.000111264708717142,8.95567309881234,"LINC00632"
"MYOC",-5.21805244732997,0.204140456129566,-7.49283982612359,7.01277111895242e-08,0.000231292879454916,7.92585316587945,"MYOC"
"NFKB1",1.63009865179708,7.52669132135317,7.22295885047668,1.33413890021108e-07,0.000372111352056571,7.60640718655443,"NFKB1"
"FBLN5",-1.88788172864805,4.16414600383138,-6.92478086316239,2.74428108169284e-07,0.000543065783256196,6.9407792924833,"FBLN5"
"TRAV19",-3.5710955802363,0.447566663607452,-7.04183086121305,2.06491110574869e-07,0.000454028065240677,6.87498480253183,"TRAV19"
"BPI",-2.71519790043265,-0.94597481428939,-7.17300703991089,1.50431594140814e-07,0.000372111352056571,6.70127110015704,"BPI"
"MARVELD2",2.74627404358501,3.91599179754199,6.83109904820021,3.44996757901369e-07,0.000620649167464564,6.62701491246942,"MARVELD2"
"GNPDA1",1.34189552164773,5.38249029188609,6.59630204752766,6.15023411793269e-07,0.000931400826816799,6.15382239488847,"GNPDA1"
"SORBS2",2.60993517708362,8.15438158663315,6.60568822812403,6.00898931183929e-07,0.000931400826816799,6.12340305376278,"SORBS2"
"CMTM4",1.5065909210083,4.80444167101742,6.55889004292186,6.74765759512855e-07,0.000931400826816799,6.0776849552919,"CMTM4"
"SPINT2",1.92216949558103,5.73616013782534,6.47341921063536,8.34429973287442e-07,0.000976775433121687,5.85513918252624,"SPINT2"
"ZNF483",2.22786888996744,7.25158550678968,6.47117196319613,8.39111747085182e-07,0.000976775433121687,5.81104781084201,"ZNF483"
"RNF187",1.42711755008873,5.8757362933442,6.44521452804987,8.95168068673238e-07,0.000984137828387484,5.77550864282778,"RNF187"
