"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
"NDRG3",13.6324775593333,7.86489089961538,104.953383047552,2.58329503101618e-34,8.28979375453092e-31,51.2730259077617,"NDRG3"
"SRP68",13.1866164286667,7.60766332423077,101.836532325935,5.43918514668467e-34,8.72717256785556e-31,51.1105370089835,"SRP68"
"ACSS1",14.1161742653333,8.14394669153846,78.4085208858149,3.44737120116886e-31,3.68753806151695e-28,49.3452103224481,"ACSS1"
"SYMPK",12.4168303046667,7.163555945,65.0276837856591,3.46411380440231e-29,2.74766786607554e-26,47.6319036893319,"SYMPK"
"CUL3",13.7821933293333,7.95126538230769,64.4705676459781,4.28119019332431e-29,2.74766786607554e-26,47.5431875808734,"CUL3"
"CD248",-14.8672477009091,6.28998941192308,-62.227336293849,1.02333437565509e-28,5.473133352462e-26,47.1685516288546,"CD248"
"ITGA7",-14.2365310045455,6.02314773269231,-56.4639178231262,1.11629676057209e-27,5.11742329239404e-25,46.0610310709318,"ITGA7"
"RUFY1",13.56215321,7.82431915961538,52.4062816086206,6.96703810923822e-27,2.79465316156818e-24,45.1316569759682,"RUFY1"
"IRF6",13.4641517593333,7.76777986115385,42.6966466305642,1.05294805215839e-24,3.75434477708475e-22,42.2265051665479,"IRF6"
"EHD2",-4.08966234048486,14.9781246407692,-15.9317317699908,1.61430152609745e-14,5.18029359724673e-12,23.1070370554077,"EHD2"
"RAE1",13.1085805967879,8.61604338653846,14.4544615292239,1.43279031817287e-13,4.17984011910614e-11,21.0310292173412,"RAE1"
"CAT",-3.15558068448486,15.8787958938462,-14.2332047029274,2.01770201288202e-13,5.34013306714425e-11,20.7030316487636,"CAT"
"FGB",-3.43755963630303,16.4327038411538,-14.1884896954021,2.16334465169446e-13,5.34013306714425e-11,20.6361774695421,"FGB"
"A2M",-3.13406715927273,16.0925378084615,-13.6343014741858,5.2075351370742e-13,1.19364144677651e-10,19.7913916552349,"A2M"
"SEC23IP",12.9693344715152,8.60041968076923,13.5164975923495,6.29913315199304e-13,1.34759455231638e-10,19.6078694707716,"SEC23IP"
"CA2",-3.91508934933334,15.7428670261538,-13.234777798315,9.98162202187424e-13,1.93477518733598e-10,19.1632250052919,"CA2"
"PSPH",13.7672590604242,9.14817715884615,13.2140120894731,1.03291787909365e-12,1.93477518733598e-10,19.1301245277964,"PSPH"
"PHF5A",13.3483036561212,8.88329077153846,13.1840661641078,1.0852587526347e-12,1.93477518733598e-10,19.0823113768588,"PHF5A"
"CAVIN1",-3.40943159848486,15.3291879434615,-13.1151356276559,1.21643591359691e-12,2.05449623512236e-10,18.9718957462615,"CAVIN1"
"ACBD3",12.4063478780606,8.29243130846154,12.9562426263367,1.58517803568615e-12,2.54341815825843e-10,18.7154610055839,"ACBD3"
"CIAPIN1",12.320807649697,8.28689531307692,12.2123758598889,5.66060883410406e-12,8.64994940411426e-10,17.4784700410213,"CIAPIN1"
"FGG",-3.61858210024243,16.5714042815385,-12.1829592185827,5.95973685563838e-12,8.69308889533799e-10,17.4282848907189,"FGG"
"PRPF3",12.0579352013333,8.10411141769231,12.0363286868337,7.71418657569417e-12,9.31167057250535e-10,17.1766567806903,"PRPF3"
"GLS",12.1895956621212,8.22588333038462,12.0261246598488,7.85462103212804e-12,9.31167057250535e-10,17.1590540911325,"GLS"
"RBX1",13.6487256113333,7.87426477576923,11.9921254087969,8.34191831285389e-12,9.31167057250535e-10,17.1003161898266,"RBX1"
"PPP1R2",13.1417434393333,7.58177506115385,11.9891037643754,8.38671210718929e-12,9.31167057250535e-10,17.0950894635234,"PPP1R2"
"PCYT1A",12.3759086026666,7.13994727076923,11.988637013914,8.39365350131021e-12,9.31167057250535e-10,17.0942820020584,"PCYT1A"
"HSPBP1",12.4633479073333,7.19039302346154,11.988324774538,8.39830036127865e-12,9.31167057250535e-10,17.0937418251311,"HSPBP1"
"TSFM",12.920319488,7.45403047384615,11.9632414570798,8.78042555663181e-12,9.31167057250535e-10,17.0503105933976,"TSFM"
"HSPA13",13.0214311246667,7.51236411038462,11.919066845576,9.49769962611826e-12,9.31167057250535e-10,16.9736457992065,"HSPA13"
"CA1",-4.67285261078789,17.7817689792308,-11.9042652475529,9.75136772273881e-12,9.31167057250535e-10,16.9479069808194,"CA1"
"C12orf57",11.9832814386667,6.91343159923077,11.8871249717281,1.00538876241809e-11,9.31167057250535e-10,16.9180695066323,"C12orf57"
"FLAD1",12.649102698,7.29755924884615,11.8868202449436,1.00593528714042e-11,9.31167057250535e-10,16.9175387341084,"FLAD1"
"COPS7B",12.6063757326666,7.27290907653846,11.8739079409531,1.02937787157513e-11,9.31167057250535e-10,16.8950381546514,"COPS7B"
"SF3B5",12.648258256,7.29707207076923,11.872882984668,1.03126273183165e-11,9.31167057250535e-10,16.8932512642547,"SF3B5"
"SNRPB2",13.2642517013333,7.65245290461538,11.8585387390947,1.05801886643974e-11,9.31167057250535e-10,16.8682308919867,"SNRPB2"
"SRP54",11.3658237173333,6.55720599076923,11.8413591853241,1.0910105428543e-11,9.31167057250535e-10,16.8382333029155,"SRP54"
"RFC2",12.884321156,7.43326220538462,11.8354212012527,1.10265965021877e-11,9.31167057250535e-10,16.8278568314649,"RFC2"
"PDAP1",12.276353132303,8.30580223884615,11.8115461681359,1.1508107167854e-11,9.46910664144703e-10,16.78609415127,"PDAP1"
"GGA2",12.2149219706667,7.04707036769231,11.768981117919,1.24212063517067e-11,9.88200852394044e-10,16.7114725876766,"GGA2"
"PTPN23",12.0214749413333,6.93546631230769,11.759887171996,1.26258133213324e-11,9.88200852394044e-10,16.695502206817,"PTPN23"
"CPSF1",12.8579299026667,7.41803648230769,11.7089879552859,1.38371179792269e-11,1.05007950102519e-09,16.6059352800907,"CPSF1"
"GLRX5",12.773266572,7.36919225307692,11.699697474358,1.40708689760309e-11,1.05007950102519e-09,16.5895538768735,"GLRX5"
"UFD1",13.258549048606,8.99889575538462,11.6710790484486,1.48169011609636e-11,1.08062354148937e-09,16.5390283403059,"UFD1"
"NMT1",11.1433725813333,6.42886879692308,11.6127297998456,1.64673186443533e-11,1.17430278954955e-09,16.4357122538693,"NMT1"
"RELA",11.5768030239333,6.6789248215,11.5997451249741,1.68597667901796e-11,1.1761519919497e-09,16.4126658434806,"RELA"
"TNS1",-2.74337623927273,14.2522259661538,-11.5510265661242,1.84204998049057e-11,1.24462368179157e-09,16.3260162416171,"TNS1"
"CD36",-14.1574210954545,5.98967815576923,-11.5401794308649,1.8787876426013e-11,1.24462368179157e-09,16.306685176849,"CD36"
"LMOD1",-11.9307129554545,5.04760932730769,-11.5338755843569,1.900484898965e-11,1.24462368179157e-09,16.2954443944935,"LMOD1"
"S100A14",12.4632571946667,7.19034068923077,11.4650778254186,2.15482439262829e-11,1.38296629518884e-09,16.1724567690213,"S100A14"
"UBA7",12.3425105267879,8.38634431461538,11.4407285918174,2.25305745447851e-11,1.4176590924356e-09,16.1287919574595,"UBA7"
"AGL",11.4754118438606,7.71834230719231,11.4223341735447,2.33032727169153e-11,1.43808081054964e-09,16.095758322146,"AGL"
"IGHM",-2.96011820509092,15.5970864561538,-11.402944087131,2.41474912569957e-11,1.4620622536547e-09,16.0608923495998,"IGHM"
"BZW2",12.925181360303,8.77215448653846,11.34144338527,2.70403778232564e-11,1.60689948953388e-09,15.9500045335852,"BZW2"
"STXBP2",11.8189401729091,8.05342530961538,11.2983784597069,2.9277405852442e-11,1.70820355237248e-09,15.8720834550185,"STXBP2"
"CP",-3.09639345763638,14.8024498626923,-11.2554928164931,3.16955985980746e-11,1.81627099823610e-09,15.7942620124393,"CP"
"NUP50",12.568350496606,8.55855931307692,11.2315699906445,3.31332866118392e-11,1.86534590767354e-09,15.7507532943008,"NUP50"
"LGALS9",12.4888280033333,7.20509307884615,11.1745716679117,3.68366492464443e-11,2.03808288675586e-09,15.6468069475487,"LGALS9"
"TIAL1",12.6702418952121,8.645218245,11.1561378558953,3.81238160799493e-11,2.0735478949247e-09,15.6131042137659,"TIAL1"
"FIP1L1",12.5240089760606,8.54401629115385,11.1355432159458,3.96169483007102e-11,2.11267936040231e-09,15.5754012930214,"FIP1L1"
"STRBP",13.7604965759394,9.39460859730769,11.1282511359236,4.01600003068062e-11,2.11267936040231e-09,15.562039028303,"STRBP"
"C3",-3.08224297927274,15.9037997738462,-11.0218903452307,4.90157764250445e-11,2.53696171851561e-09,15.3663917684213,"C3"
"SPTBN1",-2.1414599990303,14.6391531646154,-10.9171823296064,5.97154412475691e-11,3.04169604703888e-09,15.172410134191,"SPTBN1"
"EIF5B",11.896588405697,8.15661519153846,10.8214899516406,7.16041432076614e-11,3.59027649302165e-09,14.9939295509341,"EIF5B"
"APOE",-2.24293334345456,15.5474652696154,-10.812266837373,7.2872330213721e-11,3.59765088701278e-09,14.9766661573153,"APOE"
"RFC4",12.3777609235151,8.47561189923077,10.7971220027705,7.50052889786416e-11,3.64684806564335e-09,14.9482954721931,"RFC4"
"KPNA3",12.5352906618788,8.59066978423077,10.7861335801173,7.65931382865982e-11,3.66846836957752e-09,14.9276928181683,"KPNA3"
"OGN",-15.0601720612727,8.11573492269231,-10.7557991191721,8.11591676174838e-11,3.82999660124273e-09,14.8707381878935,"OGN"
"BLVRB",-2.2731904709091,16.22084861,-10.6597815003108,9.75547423439500e-11,4.53700243741646e-09,14.6896901493482,"BLVRB"
"KNG1",-2.97381221684849,15.6629731338462,-10.4881958794548,1.35905143619568e-10,6.23028008393134e-09,14.3632213269802,"KNG1"
"BPGM",-3.35036271206062,14.9315433180769,-10.3734214651355,1.69983291096942e-10,7.65129488336978e-09,14.1427290021218,"BPGM"
"AFM",-2.66855702345455,14.7254073765385,-10.3683712611765,1.71671309318362e-10,7.65129488336978e-09,14.1329878982574,"AFM"
"IGHG3",-3.40623089078789,19.6892063092308,-10.3013163325758,1.95797031430852e-10,8.607022929611e-09,14.0033344317113,"IGHG3"
"FGA",-3.00181996412122,15.7501396053846,-10.2549997866645,2.14482138794088e-10,9.3009889647328e-09,13.9134373063441,"FGA"
"PRDX2",-2.34619589369698,18.3143903223077,-10.1935070473551,2.42171295672775e-10,1.03617025041858e-08,13.7936507805591,"PRDX2"
"AHSG",-2.81213127945456,16.490692785,-10.0873812869153,2.98952807035011e-10,1.26228889180967e-08,13.5857521709851,"AHSG"
"FABP4",-4.3224870149697,15.370030755,-10.0402589364443,3.28409327647733e-10,1.36865653561243e-08,13.4929642367224,"FABP4"
"VIM",-2.05561525751516,18.2253399288462,-9.98345500722438,3.67936243016487e-10,1.51372744082039e-08,13.3807218114086,"VIM"
