"","gene","distance","Z","FC","p.value","p.adj","log2FC"
"305","PKP1",0.000282744312174271,5.56989045536291,738150.496351466,0,0,19.4935554617318
"96","CCL25",2.9479518178879e-06,2.4322863844996,80.2412940186769,3.31369267362851e-19,4.89598092528612e-16,6.32627296678056
"121","PRSS16",2.85233976191277e-06,2.41344058748806,75.1207082507354,4.42797581447489e-18,4.36155617725777e-15,6.23113875991588
"747","PASK",2.58939411183581e-06,2.35843820257339,61.908955081906,3.59709967647106e-15,2.29604621387038e-12,5.95207620413009
"269","COL17A1",2.58622132079537e-06,2.35774360632999,61.7573336368793,3.88501897439996e-15,2.29604621387038e-12,5.94853856070755
"140","RAMP1",2.46909116542326e-06,2.33153493522249,56.2900212737314,6.25319771910126e-14,3.07969987665737e-11,5.81480728833205
"183","TBATA",2.45165143774625e-06,2.32753501605746,55.4976522136596,9.35707039270048e-14,3.88477134102134e-11,5.79435483551489
"425","IGFBP2",2.4465717235571e-06,2.32636501605451,55.267913065416,1.05171474545417e-13,3.88477134102134e-11,5.78837023182846
"635","SPINT2",2.40313574580871e-06,2.31626802831463,53.3229009683687,2.82988196417386e-13,9.29144578237083e-11,5.7366833655399
"135","CTSV",2.35387752843998e-06,2.30461198439908,51.1593346299764,8.51647332404294e-13,2.51661786725469e-10,5.6769255957708
"30","PAX1",2.29128751736966e-06,2.28947241708533,48.4748350554764,3.3455453334245e-12,8.98735132751763e-10,5.59916408419311
"35","DSP",2.2311785757509e-06,2.27456971584589,45.9648475345713,1.20394001503823e-11,2.96470228703164e-09,5.52245905007982
"44","KRT5",2.19317935396031e-06,2.2649564979615,44.412524441484,2.65980036504681e-11,6.04593082977948e-09,5.47289467240047
"112","GPC4",2.10144954096479e-06,2.24110206290129,40.7751056036919,1.70795044290528e-10,3.60499539913221e-08,5.34961670827395
"61","MIR205HG",2.09149047232407e-06,2.23845469688446,40.3895433265592,2.08051626293799e-10,4.09861703798785e-08,5.33590992886515
"612","TMSB4X",1.94576393922856e-06,2.19832647891952,34.9572662606801,3.37021342494616e-09,6.22436291919743e-07,5.12752046203797
"14","KRT19",1.91969699349509e-06,2.19085768683206,34.0269114709084,5.43550696397685e-09,9.44819004620682e-07,5.08860430267519
"459","S100A10",1.91376693734294e-06,2.18914553783912,33.8170139308532,6.05470259022035e-09,9.93980341894507e-07,5.07967736914313
"6","MDK",1.89301453517238e-06,2.18311506704641,33.0875841611659,8.80994956611168e-09,1.34781277469143e-06,5.04821805423379
"481","S100A6",1.89107606516439e-06,2.18254865582488,33.0198546761202,9.12225228217550e-09,1.34781277469143e-06,5.04526186569874
"2002","TSC2",1.88631900917595e-06,2.18115639609831,32.8539388421731,9.93495691737977e-09,1.3979903662313e-06,5.03799443978557
"667","PRXL2A",1.87876384781852e-06,2.17893854072766,32.5912900283064,1.13723251681104e-08,1.52751003962573e-06,5.02641455284314
"25","S100A14",1.70518786031826e-06,2.12557799223804,26.8473624493551,2.20174634726428e-07,2.82876541572432e-05,4.74670845616529
"66","CALML3",1.69497157228023e-06,2.12228340070736,26.5266250731578,2.59930833633305e-07,3.20039838911006e-05,4.72936923106682
"702","MFAP4",1.67331864561749e-06,2.11523972015511,25.8532093213534,3.68391676190581e-07,4.35438961257267e-05,4.6922714773467
"562","PHEX",1.59420015387817e-06,2.08876737553763,23.4662047196614,1.27127387413671e-06,0.000144485165310537,4.55251262294867
"101","DCN",1.5490862202705e-06,2.07312523871655,22.1568666128573,2.51255693527219e-06,0.0002749853979159,4.46968196717161
"7","GAS6",1.53933328317906e-06,2.06968850238956,21.8787487579743,2.90432543683605e-06,0.000306510059494661,4.45145832788608
"482","TSC22D1",1.5291703156942e-06,2.06608585521174,21.5908072101866,3.37465429063274e-06,0.000343865635476543,4.43234527693993
"658","CD81",1.5105614835216e-06,2.0594316584503,21.0685174063572,4.43149464757796e-06,0.000436502222786429,4.39701689002252
"416","SLCO5A1",1.50637880767803e-06,2.05792560801139,20.9520034136492,4.70935080739154e-06,0.000448907472123935,4.38901629474265
"76","COL1A2",1.48659024589885e-06,2.05074768347728,20.4051466106399,6.26610519989335e-06,0.000578635652052652,4.35086117126055
