"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Tumor_AVG","Normal_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_Islands_Name","SNP_ID","SNP_DISTANCE"
"cg21326590",-0.353439877606651,0.483275606754159,-12.433500488296,1.65676717870241e-14,3.27373473809042e-09,22.6887460079371,0.404733411730459,0.75817328933711,-0.353439877606651,"11",62388293,"R","II","B3GAT3","Body","shore","Body-shore","chr11:62389337-62389791","rs11231164","33"
"cg13883633",0.235871752703095,0.87452941124095,12.2744254994208,2.40732251174657e-14,3.27373473809042e-09,22.3398858159781,0.926945356286082,0.691073603582987,0.235871752703095,"15",41951695,"R","II","MGA","TSS1500","shore","TSS1500-shore","chr15:41952535-41953222","rs542653760","2"
"cg11343500",-0.300900866984621,0.523104358399989,-12.2336009795312,2.65090161633112e-14,3.27373473809042e-09,22.249802322471,0.456237499070073,0.757138366054695,-0.300900866984622,"4",2938941,"R","II","NOP14-AS1","Body","shore","Body-shore","chr4:2935461-2936974","rs182137513;rs184977654;rs533453759","50;20;2"
"cg01970383",-0.248160371643656,0.432706870081351,-11.9133369628411,5.68642466426189e-14,4.72315128497689e-09,21.5352039809452,0.377560120827205,0.625720492470861,-0.248160371643656,"5",177729224,"R","II","COL23A1","Body","island","Body-island","chr5:177729223-177729466","rs529688014;rs185305652;rs149501030;rs533871136;rs187590913;rs191622575","42;35;32;31;24;21"
"cg11201447",-0.487794747173527,0.331135725337493,-11.8746334325638,6.24115256081556e-14,4.72315128497689e-09,21.4478903352704,0.222736892632265,0.710531639805792,-0.487794747173527,"8",128808063,"F","II","MIR1204","TSS200","shore","TSS200-shore","chr8:128806081-128806899","rs568964752","47"
"cg26009832",0.236041341950592,0.838007284402329,11.8349402624612,6.8676408576553e-14,4.72315128497689e-09,21.358128879228,0.890460915946905,0.654419573996313,0.236041341950592,"1",169081894,"F","II","ATP1B1","Body","opensea","Body-opensea","","rs529138166;rs192504640","1;40"
"cg05465032",0.307608161992743,0.725986782584845,11.8209906963078,7.10276248050237e-14,4.72315128497689e-09,21.3265317470016,0.794344151916566,0.486735989923823,0.307608161992743,"16",4658987,"R","II","FAM100A","3'UTR","shore","3'UTR-shore","chr16:4659348-4659613","",""
"cg10744318",0.281679746291515,0.897145927215047,11.7110622459821,9.26838768541835e-14,5.72300430633061e-09,21.0765878289141,0.95974142639094,0.678061680099424,0.281679746291515,"20",422810,"F","II","TBC1D20","Body","opensea","Body-opensea","","rs565798215;rs151265048","28;31"
"cg17129317",-0.321554521461792,0.574298475150784,-10.9717675258215,5.7735944206196e-13,1.99643042976614e-08,19.3516045112117,0.502841914825941,0.824396436287733,-0.321554521461792,"2",231773419,"R","II","GPR55","3'UTR","opensea","3'UTR-opensea","","rs553754180","29"
"cg14450616",-0.227086854843025,0.551686355673715,-10.6935441556851,1.17024551333147e-12,3.26334663847613e-08,18.682331357346,0.501222610153043,0.728309464996068,-0.227086854843025,"19",40867383,"R","II","PLD3","5'UTR","opensea","5'UTR-opensea","","rs569280005;rs150585555","25;2"
"cg04340203",-0.261023275117495,0.594895004078221,-10.668552058261,1.24753125438837e-12,3.26802531320028e-08,18.6216696373487,0.536889831829889,0.797913106947384,-0.261023275117496,"19",891986,"R","I","MED16","5'UTR","island","5'UTR-island","chr19:891531-892150","rs2965291","40"
"cg01979489",-0.214377309375521,0.638445297222601,-10.6522137572395,1.30085133501578e-12,3.30747573581104e-08,18.5819642828089,0.590805895139152,0.805183204514673,-0.214377309375521,"16",332603,"F","I","ARHGDIG","Body","island","Body-island","chr16:332514-332760","rs201745267;rs140706640;rs201741302;rs145921827;rs554911623","0;22;23;29;49"
"cg26189021",-0.351646699164144,0.588907996295064,-10.6152768857508,1.43012845842591e-12,3.53227836554748e-08,18.4920590453546,0.510764285369698,0.862410984533842,-0.351646699164144,"1",110757770,"F","II","KCNC4","Body","shelf","Body-shelf","chr1:110752256-110754794","",""
